country	CG	SC	ES	EQ	HS	HO	IW	JE	SW	PS	WL	numResponses
RWA	0.09302325581395349	0.09302325581395349	0.09302325581395349	0.09302325581395349	0.09302325581395349	0.10465116279069768	0.10465116279069768	0.09302325581395349	0.09302325581395349	0.09302325581395349	0.046511627906976744	2
SHN	0.06666666666666667	0.06666666666666667	0.08888888888888889	0.044444444444444446	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.06666666666666667	0.1111111111111111	0.1111111111111111	1
KNA	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.15384615384615385	0.11538461538461539	0.07692307692307693	0.07692307692307693	0.11538461538461539	0.07692307692307693	1
LCA	0.07317073170731707	0.07317073170731707	0.07317073170731707	0.07317073170731707	0.12195121951219512	0.12195121951219512	0.0975609756097561	0.0975609756097561	0.07317073170731707	0.12195121951219512	0.07317073170731707	1
VCT	0.08695652173913043	0.10869565217391304	0.08695652173913043	0.08695652173913043	0.08695652173913043	0.08695652173913043	0.08695652173913043	0.08695652173913043	0.10869565217391304	0.08695652173913043	0.08695652173913043	2
SMR	0.09375	0.1	0.0875	0.09375	0.1125	0.05625	0.08125	0.0875	0.09375	0.1	0.09375	4
SAU	0.07077922077922078	0.08051948051948052	0.09025974025974026	0.08766233766233766	0.1025974025974026	0.08571428571428572	0.10519480519480519	0.09740259740259741	0.09285714285714286	0.0987012987012987	0.08831168831168831	41
SEN	0.0546875	0.0859375	0.078125	0.07421875	0.1328125	0.07421875	0.10546875	0.109375	0.109375	0.0859375	0.08984375	9
SRB	0.06751054852320675	0.08192686357243319	0.10021097046413502	0.08438818565400844	0.09774964838255977	0.08579465541490858	0.09950773558368495	0.09458509142053446	0.10583684950773559	0.08649789029535865	0.09599156118143459	78
SM2	0.07432432432432433	0.0945945945945946	0.10135135135135136	0.10135135135135136	0.10135135135135136	0.10810810810810811	0.06756756756756757	0.06756756756756757	0.11486486486486487	0.10135135135135136	0.06756756756756757	4
